SampleID.x	SampleID.y	value
P1S1T2	P1S1T1	30.37660850073607
P1S1T3	P1S1T1	374.2364111015691
P1S2T1	P1S1T1	1674.148139044751
P1S2T2	P1S1T1	1578.2848358395258
P1S2T3	P1S1T1	1706.5988947999504
P2S1T1	P1S1T1	18658.373870556814
P2S1T2	P1S1T1	18667.479126928545
P2S1T3	P1S1T1	18661.70341064633
P2S2T1	P1S1T1	19366.549733036813
P2S2T2	P1S1T1	19466.78862183185
P2S2T3	P1S1T1	19362.87674523603
P3S1T1	P1S1T1	34641.07462235343
P3S1T2	P1S1T1	34669.445169924446
P3S1T3	P1S1T1	34548.30563420391
P3S2T1	P1S1T1	32782.7394715422
P3S2T2	P1S1T1	32789.507742315836
P3S2T3	P1S1T1	32870.9622535278
P4S1T1	P1S1T1	46008.92653888673
P4S1T2	P1S1T1	45870.52309318676
P4S1T3	P1S1T1	45556.22868962181
P4S2T1	P1S1T1	43684.665679999984
P4S2T2	P1S1T1	43638.92875629264
P4S2T3	P1S1T1	43583.78426840603
P5S1T1	P1S1T1	56554.327766096736
P5S1T2	P1S1T1	56504.03366955562
P5S1T3	P1S1T1	56293.08756925724
P5S2T1	P1S1T1	56390.65306749533
P5S2T2	P1S1T1	56508.4759020755
P5S2T3	P1S1T1	56599.889391527395
P6S1T1	P1S1T1	53806.51019021225
P6S1T2	P1S1T1	53625.261032944945
P6S1T3	P1S1T1	53813.712207158154
P6S2T1	P1S1T1	52806.49246755337
P6S2T2	P1S1T1	52765.398313870835
P6S2T3	P1S1T1	52736.490360881704
P1S1T3	P1S1T2	391.25755634047914
P1S2T1	P1S1T2	1645.1933451159146
P1S2T2	P1S1T2	1550.0018747195527
P1S2T3	P1S1T2	1676.7866690101653
P2S1T1	P1S1T2	18669.943197045504
P2S1T2	P1S1T2	18679.16139731064
P2S1T3	P1S1T2	18673.537543059785
P2S2T1	P1S1T2	19380.049089209995
P2S2T2	P1S1T2	19480.305036846217
P2S2T3	P1S1T2	19376.52075518696
P3S1T1	P1S1T2	34654.72714920796
P3S1T2	P1S1T2	34683.02007225425
P3S1T3	P1S1T2	34562.1204352057
P3S2T1	P1S1T2	32798.912259751465
P3S2T2	P1S1T2	32805.624200403094
P3S2T3	P1S1T2	32887.0669799334
P4S1T1	P1S1T2	46026.60986569837
P4S1T2	P1S1T2	45888.18743748291
P4S1T3	P1S1T2	45573.88701512438
P4S2T1	P1S1T2	43702.52738893348
P4S2T2	P1S1T2	43656.863484839276
P4S2T3	P1S1T2	43601.718618321975
P5S1T1	P1S1T2	56575.553227932716
P5S1T2	P1S1T2	56525.15240956399
P5S1T3	P1S1T2	56314.17242145437
P5S2T1	P1S1T2	56410.76096817004
P5S2T2	P1S1T2	56528.62322655579
P5S2T3	P1S1T2	56620.053778933754
P6S1T1	P1S1T2	53834.420775540006
P6S1T2	P1S1T2	53653.17910558868
P6S1T3	P1S1T2	53841.65490742587
P6S2T1	P1S1T2	52833.97504227893
P6S2T2	P1S1T2	52792.89503251707
P6S2T3	P1S1T2	52763.96052076201
P1S2T1	P1S1T3	1974.1573235758672
P1S2T2	P1S1T3	1891.8306796197621
P1S2T3	P1S1T3	1981.3942405511339
P2S1T1	P1S1T3	18289.743546446447
P2S1T2	P1S1T3	18298.589370423706
P2S1T3	P1S1T3	18292.473931746357
P2S2T1	P1S1T3	18994.286706013125
P2S2T2	P1S1T3	19094.50102555929
P2S2T3	P1S1T3	18990.4127493719
P3S1T1	P1S1T3	34268.57277679851
P3S1T2	P1S1T3	34297.048291556894
P3S1T3	P1S1T3	34175.593866102354
P3S2T1	P1S1T3	32408.50310656019
P3S2T2	P1S1T3	32415.27269399838
P3S2T3	P1S1T3	32496.727706155387
P4S1T1	P1S1T3	45635.35869030055
P4S1T2	P1S1T3	45496.93810057332
P4S1T3	P1S1T3	45182.63830567442
P4S2T1	P1S1T3	43311.27031730948
P4S2T2	P1S1T3	43265.61000039981
P4S2T3	P1S1T3	43210.46510692487
P5S1T1	P1S1T3	56188.517150609594
P5S1T2	P1S1T3	56137.83929565899
P5S1T3	P1S1T3	55926.773691698894
P5S2T1	P1S1T3	56021.32940841564
P5S2T2	P1S1T3	56139.25785179563
P5S2T3	P1S1T3	56230.71743069474
P6S1T1	P1S1T3	53498.78529081821
P6S1T2	P1S1T3	53317.67106788237
P6S1T3	P1S1T3	53506.5624442886
P6S2T1	P1S1T3	52491.622753143776
P6S2T2	P1S1T3	52450.75112998968
P6S2T3	P1S1T3	52421.42678923991
P1S2T2	P1S2T1	143.25799274586734
P1S2T3	P1S2T1	193.74216033802097
P2S1T1	P1S2T1	19771.587517626063
P2S1T2	P1S2T1	19785.552800294146
P2S1T3	P1S2T1	19786.33388152531
P2S2T1	P1S2T1	20560.563503767302
P2S2T2	P1S2T1	20661.34802125744
P2S2T3	P1S2T1	20562.942008475682
P3S1T1	P1S2T1	35826.86161253973
P3S1T2	P1S2T1	35851.889652378115
P3S1T3	P1S2T1	35741.082527394436
P3S2T1	P1S2T1	34074.71905612818
P3S2T2	P1S2T1	34079.19448637486
P3S2T3	P1S2T1	34160.13135277311
P4S1T1	P1S2T1	47357.1426547579
P4S1T2	P1S2T1	47218.01770905886
P4S1T3	P1S2T1	46903.555086687826
P4S2T1	P1S2T1	45040.459967299445
P4S2T2	P1S2T1	44997.60606978464
P4S2T3	P1S2T1	44942.459812687375
P5S1T1	P1S2T1	58034.57150644704
P5S1T2	P1S2T1	57980.481496788954
P5S1T3	P1S2T1	57768.34483135785
P5S2T1	P1S2T1	57830.327735788065
P5S2T2	P1S2T1	57949.598028498636
P5S2T3	P1S2T1	58041.63309327662
P6S1T1	P1S2T1	55472.31466470815
P6S1T2	P1S2T1	55291.16874607634
P6S1T3	P1S2T1	55479.95271358715
P6S2T1	P1S2T1	54465.706584078296
P6S2T2	P1S2T1	54424.852265874855
P6S2T3	P1S2T1	54395.4937039041
P1S2T3	P1S2T2	319.5612459171443
P2S1T1	P1S2T2	19778.68411205801
P2S1T2	P1S2T2	19792.110924081786
P2S1T3	P1S2T2	19792.158699912914
P2S2T1	P1S2T2	20558.542906512375
P2S2T2	P1S2T2	20659.280849189243
P2S2T3	P1S2T2	20560.202774287034
P3S1T1	P1S2T2	35827.39626135939
P3S1T2	P1S2T2	35852.82368937056
P3S1T3	P1S2T2	35740.77639908928
P3S2T1	P1S2T2	34061.87390556857
P3S2T2	P1S2T2	34066.6507173828
P3S2T3	P1S2T2	34147.66016299806
P4S1T1	P1S2T2	47337.17744391308
P4S1T2	P1S2T2	47198.15030250708
P4S1T3	P1S2T2	46883.70263200111
P4S2T1	P1S2T2	45019.35604270519
P4S2T2	P1S2T2	44976.09037772313
P4S2T3	P1S2T2	44920.94272792359
P5S1T1	P1S2T2	57994.30935795338
P5S1T2	P1S2T2	57940.8750554017
P5S1T3	P1S2T2	57728.940347802534
P5S2T1	P1S2T2	57796.838994021135
P5S2T2	P1S2T2	57915.87772190259
P5S2T3	P1S2T2	58007.81377457587
P6S1T1	P1S2T2	55383.806174084806
P6S1T2	P1S2T2	55202.59120821116
P6S1T3	P1S2T2	55391.15064138017
P6S2T1	P1S2T2	54380.99600781023
P6S2T2	P1S2T2	54340.018781587736
P6S2T3	P1S2T2	54310.890181870054
P2S1T1	P1S2T3	19647.36289265362
P2S1T2	P1S2T3	19661.889604155815
P2S1T3	P1S2T3	19663.438923972073
P2S2T1	P1S2T3	20446.034349917347
P2S2T2	P1S2T3	20546.86424445117
P2S2T3	P1S2T3	20449.200305995608
P3S1T1	P1S2T3	35709.079706058656
P3S1T2	P1S2T3	35733.67818297081
P3S1T3	P1S2T3	35624.208500272674
P3S2T1	P1S2T3	33971.8751362505
P3S2T2	P1S2T3	33976.00345213274
P3S2T3	P1S2T3	34056.85507585674
P4S1T1	P1S2T3	47262.43291476624
P4S1T2	P1S2T3	47123.19301524979
P4S1T3	P1S2T3	46808.71630809112
P4S2T1	P1S2T3	44947.14056331284
P4S2T2	P1S2T3	44904.78152451046
P4S2T3	P1S2T3	44849.637664910704
P5S1T1	P1S2T3	57965.19096555611
P5S1T2	P1S2T3	57910.23984544237
P5S1T3	P1S2T3	57697.8401923854
P5S2T1	P1S2T3	57752.18056852536
P5S2T2	P1S2T3	57871.74486907055
P5S2T3	P1S2T3	57963.90540457374
P6S1T1	P1S2T3	55475.19516473972
P6S1T2	P1S2T3	55294.169671576
P6S1T3	P1S2T3	55483.33811104303
P6S2T1	P1S2T3	54462.153415046734
P6S2T2	P1S2T3	54421.50551989887
P6S2T3	P1S2T3	54391.76194162097
P2S1T2	P2S1T1	75.68942820013694
P2S1T3	P2S1T1	176.36081226197595
P2S2T1	P2S1T1	1504.174925378642
P2S2T2	P2S1T1	1567.0971220328688
P2S2T3	P2S1T1	1592.3735630516126
P3S1T1	P2S1T1	16098.318974700602
P3S1T2	P2S1T1	16118.06084657164
P3S1T3	P2S1T1	16024.878167331493
P3S2T1	P2S1T1	14742.986378313546
P3S2T2	P2S1T1	14734.223722733192
P3S2T3	P2S1T1	14810.66153722323
P4S1T1	P2S1T1	28172.67311217941
P4S1T2	P2S1T1	28030.508285107255
P4S1T3	P2S1T1	27718.188227823604
P4S2T1	P2S1T1	25930.610681557308
P4S2T2	P2S1T1	25907.761004602286
P4S2T3	P2S1T1	25853.322339590377
P5S1T1	P2S1T1	39867.01086935486
P5S1T2	P2S1T1	39769.21452351268
P5S1T3	P2S1T1	39546.2798471765
P5S2T1	P2S1T1	39236.33278964892
P5S2T2	P2S1T1	39367.95362121266
P5S2T3	P2S1T1	39464.86983813385
P6S1T1	P2S1T1	42529.74961843485
P6S1T2	P2S1T1	42367.61618556608
P6S1T3	P2S1T1	42581.03476196261
P6S2T1	P2S1T1	41015.95566016171
P6S2T2	P2S1T1	40994.59778434569
P6S2T3	P2S1T1	40933.79723846479
P2S1T3	P2S1T2	101.39105405991866
P2S2T1	P2S1T2	1432.9455586596457
P2S2T2	P2S1T2	1497.3030177763371
P2S2T3	P2S1T2	1520.271543254001
P3S1T1	P2S1T2	16077.4062348324
P3S1T2	P2S1T2	16097.605369862356
P3S1T3	P2S1T2	16002.994552450107
P3S2T1	P2S1T2	14706.396517554444
P3S2T2	P2S1T2	14697.956540373068
P3S2T3	P2S1T2	14774.537111411026
P4S1T1	P2S1T2	28136.33302361764
P4S1T2	P2S1T2	27994.20150055996
P4S1T3	P2S1T2	27681.794339382202
P4S2T1	P2S1T2	25892.585615579042
P4S2T2	P2S1T2	25869.393348872138
P4S2T3	P2S1T2	25814.932603587946
P5S1T1	P2S1T2	39819.576110949005
P5S1T2	P2S1T2	39722.17223128556
P5S1T3	P2S1T2	39499.312025297506
P5S2T1	P2S1T2	39193.1459739751
P5S2T2	P2S1T2	39324.64278734986
P5S2T3	P2S1T2	39421.51520627735
P6S1T1	P2S1T2	42459.061153915885
P6S1T2	P2S1T2	42296.8719632732
P6S1T3	P2S1T2	42510.26047371559
P6S2T1	P2S1T2	40946.2397401218
P6S2T2	P2S1T2	40924.83333407855
P6S2T3	P2S1T2	40864.100543851295
P2S2T1	P2S1T3	1346.7771049382336
P2S2T2	P2S1T3	1414.1350792664116
P2S2T3	P2S1T3	1432.0614547421371
P3S1T1	P2S1T3	16068.068465076783
P3S1T2	P2S1T3	16088.901747142367
P3S1T3	P2S1T3	15992.308756470962
P3S2T1	P2S1T3	14674.818117220157
P3S2T2	P2S1T3	14666.848493360867
P3S2T3	P2S1T3	14743.634071934894
P4S1T1	P2S1T3	28104.863497912167
P4S1T2	P2S1T3	27962.781793891016
P4S1T3	P2S1T3	27650.251190981005
P4S2T1	P2S1T3	25858.683776522255
P4S2T2	P2S1T3	25834.990565552805
P4S2T3	P2S1T3	25780.498120944467
P5S1T1	P2S1T3	39771.57794138546
P5S1T2	P2S1T3	39674.76893161772
P5S1T3	P2S1T3	39452.02235620654
P5S2T1	P2S1T3	39151.531741253246
P5S2T2	P2S1T3	39282.843232560524
P5S2T3	P2S1T3	39379.64995158943
P6S1T1	P2S1T3	42372.559245778226
P6S1T2	P2S1T3	42210.260931506455
P6S1T3	P2S1T3	42423.59015597895
P6S2T1	P2S1T3	40861.61407724468
P6S2T2	P2S1T3	40840.11550526839
P6S2T3	P2S1T3	40779.51148654847
P2S2T2	P2S2T1	100.98442383096308
P2S2T3	P2S2T1	103.17347023576644
P3S1T1	P2S2T1	15275.301662442174
P3S1T2	P2S2T1	15303.10471886561
P3S1T3	P2S2T1	15184.895303764673
P3S2T1	P2S2T1	13656.398354766401
P3S2T2	P2S2T1	13652.91741665143
P3S2T3	P2S2T1	13731.491329948702
P4S1T1	P2S2T1	27072.935070655425
P4S1T2	P2S2T1	26931.387495087067
P4S1T3	P2S2T1	26617.9011397033
P4S2T1	P2S2T1	24806.00007010887
P4S2T2	P2S2T1	24777.833202220005
P4S2T3	P2S2T1	24723.09046695086
P5S1T1	P2S2T1	38597.858028586124
P5S1T2	P2S2T1	38505.551614035336
P5S1T3	P2S2T1	38283.70359430852
P5S2T1	P2S2T1	38027.96199406327
P5S2T2	P2S2T1	38157.737115030744
P5S2T3	P2S2T1	38253.989814245135
P6S1T1	P2S2T1	41026.22307146605
P6S1T2	P2S2T1	40864.000155920236
P6S1T3	P2S2T1	41077.37300153508
P6S2T1	P2S2T1	39514.89831534195
P6S2T2	P2S2T1	39493.380031110515
P6S2T3	P2S2T1	39432.804620869414
P2S2T3	P2S2T2	138.2096451082115
P3S1T1	P2S2T2	15174.91407420345
P3S1T2	P2S2T2	15202.790638948425
P3S1T3	P2S2T2	15084.366792696503
P3S2T1	P2S2T2	13556.184809422903
P3S2T2	P2S2T2	13552.63934461653
P3S2T3	P2S2T2	13631.19055762783
P4S1T1	P2S2T2	26973.158098366657
P4S1T2	P2S2T2	26831.59947788716
P4S1T3	P2S2T2	26518.127812864273
P4S2T1	P2S2T2	24706.616306770782
P4S2T2	P2S2T2	24678.548502936243
P4S2T3	P2S2T2	24623.810776176775
P5S1T1	P2S2T2	38502.91370127658
P5S1T2	P2S2T2	38410.37194670553
P5S1T3	P2S2T2	38188.47637661195
P5S2T1	P2S2T2	37930.76847138423
P5S2T2	P2S2T2	38060.60238495979
P5S2T3	P2S2T2	38156.87676506732
P6S1T1	P2S2T2	40963.0684491743
P6S1T2	P2S2T2	40801.0145600395
P6S1T3	P2S2T2	41014.478874221786
P6S2T1	P2S2T2	39448.97105916827
P6S2T2	P2S2T2	39427.583829932446
P6S2T3	P2S2T2	39366.82544927732
P3S1T1	P2S2T3	15278.206394555564
P3S1T2	P2S2T3	15306.678047903542
P3S1T3	P2S2T3	15186.391862789233
P3S2T1	P2S2T3	13635.586054811965
P3S2T2	P2S2T3	13632.63891774889
P3S2T3	P2S2T3	13711.404061847545
P4S1T1	P2S2T3	27048.782665982686
P4S1T2	P2S2T3	26907.307445087263
P4S1T3	P2S2T3	26593.728974403723
P4S2T1	P2S2T3	24779.52144709872
P4S2T2	P2S2T3	24750.812653530218
P4S2T3	P2S2T3	24696.04347399397
P5S1T1	P2S2T3	38554.88672000943
P5S1T2	P2S2T3	38463.22912301398
P5S1T3	P2S2T3	38241.51481492815
P5S2T1	P2S2T3	37991.91890157354
P5S2T2	P2S2T3	38121.487154490176
P5S2T3	P2S2T3	38217.66380069207
P6S1T1	P2S2T3	40940.70280002481
P6S1T2	P2S2T3	40778.35673339345
P6S1T3	P2S2T3	40991.66248181962
P6S2T1	P2S2T3	39431.497216637785
P6S2T2	P2S2T3	39409.87510715461
P6S2T3	P2S2T3	39349.44500396555
P3S1T2	P3S1T1	103.05381090213962
P3S1T3	P3S1T1	227.01623536158436
P3S2T1	P3S1T1	3709.4541522134277
P3S2T2	P3S1T1	3642.684222894335
P3S2T3	P3S1T1	3592.011555330232
