SampleID,moisture,type,type2,WHC,CONDUC,pH2,ARCILLA,LIMO,ARENA
P1S1T1,7.06,LoSa,Lomy Sand,944.531599082389,0.21,5.29,3.35351653469958,8.47694457382394,88.1695388914765
P1S1T2,8.73,LoSa,Lomy Sand,970.651325179017,0.16,6.49,2.27768354737097,12.4545674824328,85.2677489701963
P1S1T3,7.18,LoSa,Lomy Sand,957.064254369955,0.18,4.82,3.36291452592247,10.8360579168613,85.8010275572163
P1S2T1,7.4,Sa,Sandy,611.689900547067,0.22,5.46,3.38028169014084,3.84976525821596,92.7699530516432
P1S2T2,8.45,Sa,Sandy,566.517093042495,0.26,5.74,3.03249097472924,4.38026474127557,92.5872442839952
P1S2T3,4.12,Sa,Sandy,606.841337160619,0.09,5.87,2.74629468177855,3.96687009590235,93.2868352223191
P2S1T1,7.95,LoSa,Lomy Sand,1265.51049644024,0.36,6.46,7.32461355529132,20.5469678953627,72.128418549346
P2S1T2,5.67,LoSa,Lomy Sand,1038.40443905812,0.47,6.26,2.43627340401534,21.7459959395443,75.8177306564403
P2S1T3,7.9,LoSa,Lomy Sand,1352.14033788856,0.41,6.39,4.94061757719715,18.5748218527316,76.4845605700713
P2S2T1,5.94,LoSa,Lomy Sand,1092.17508832781,0.78,6.52,0.181570585565139,26.4185201997276,73.3999092147072
P2S2T2,7.54,LoSa,Lomy Sand,1080.24374664854,0.54,6.42,2.54357041921809,20.3485633537447,77.1078662270372
P2S2T3,8.54,LoSa,Lomy Sand,1227.05188552201,0.8,6.41,0.192957067052581,25.6632899179932,74.1437530149542
P3S1T1,9.64,SaLo,Sandy Loam,1133.50176915468,0.31,5.85,4.26164519326065,22.2993062438057,73.4390485629336
P3S1T2,5.98,SaLo,Sandy Loam,1123.34916650113,0.33,5.41,4.72512494320763,21.89913675602,73.3757383007724
P3S1T3,8.9,SaLo,Sandy Loam,1267.53642654053,0.17,5.81,6.61800486618005,19.4647201946472,73.9172749391728
P3S2T1,7.84,LoSa,Lomy Sand,1209.30364248242,0.22,6.15,2.56166982922201,20.4933586337761,76.9449715370019
P3S2T2,9.5,LoSa,Lomy Sand,1370.26970008566,0.25,5.77,3.55555555555556,11.4567901234568,84.9876543209877
P3S2T3,7.6,LoSa,Lomy Sand,816.966767809548,0.46,5.71,6.41509433962264,11.3679245283019,82.2169811320755
P4S1T1,8.59,LoSa,Lomy Sand,1199.34848306024,0.26,5.4,5.89229654672784,13.6198985752234,80.4878048780488
P4S1T2,5.74,LoSa,Lomy Sand,1188.49110442037,0.27,5.14,5.39107379584622,10.2518780380027,84.3570481661511
P4S1T3,10.21,LoSa,Lomy Sand,1202.57451382643,0.16,5.39,5.83871739650634,15.8889686527877,78.2723139507059
P4S2T1,6.15,LoSa,Lomy Sand,942.949713737618,0.28,4.99,3.07363927427962,14.1728922091782,82.7534685165422
P4S2T2,4.77,LoSa,Lomy Sand,747.043667682075,0.26,5.71,2.92504570383912,11.4564290067032,85.6185252894577
P4S2T3,7.73,LoSa,Lomy Sand,1010.30662341035,0.26,5.94,5.16183625978422,11.9314575840914,82.9067061561244
P5S1T1,15.28,LoSa,Lomy Sand,1256.70337429353,0.16,5.65,3.53634577603143,14.2927308447937,82.1709233791749
P5S1T2,12.82,LoSa,Lomy Sand,1151.90944015041,0.16,5.35,3.25939339067451,17.7003168854685,79.0402897238569
P5S1T3,10.53,LoSa,Lomy Sand,1029.11499630236,0.2,5.65,3.03349483884559,14.3669686117548,82.5995365493996
P5S2T1,11.86,LoSa,Lomy Sand,954.055462565802,0.24,4.86,3.05473058973271,12.3462028001697,84.5990666100976
P5S2T2,10.57,LoSa,Lomy Sand,875.385230092073,0.23,5.4,2.91321060084969,15.8203520129476,81.2664373862027
P5S2T3,10.02,LoSa,Lomy Sand,927.485356280962,0.26,5.59,4.08003138485681,11.4162416633974,84.5037269517458
P6S1T1,20.86,LoSa,Lomy Sand,474.633714983274,0.66,5.38,3.50024307243559,11.2785610111813,85.2211959163831
P6S1T2,29.13,LoSa,Lomy Sand,1457.65361959961,0.25,5.43,3.72010628875111,20.6672571597284,75.6126365515205
P6S1T3,24.24,LoSa,Lomy Sand,790.176523202655,0.68,4.42,3.16901408450704,15.0905432595573,81.7404426559356
P6S2T1,17.47,LoSa,Lomy Sand,626.959003628463,0.23,5.4,2.65095729013255,12.2448979591837,85.1041447506838
P6S2T2,22.06,LoSa,Lomy Sand,852.359375870782,0.2,5.51,2.45789713245335,15.9308147473828,81.6112881201639
P6S2T3,16.4,LoSa,Lomy Sand,650.41203105253,0.14,5.8,4.11067193675889,14.1897233201581,81.699604743083
