gen	Guild	Trophic Mode
Absidia	Undefined Saprotroph	Saprotroph
Agaricaceae	Undefined Saprotroph	Saprotroph
Albatrellaceae	Ectomycorrhizal-Undefined Saprotroph	Saprotroph-Symbiotroph
Amanita	Ectomycorrhizal-Undefined Saprotroph	Saprotroph-Symbiotroph
Amphinema	Ectomycorrhizal	Symbiotroph
Anthracocystis	Plant Pathogen	Pathotroph
Apodus	Undefined Saprotroph	Saprotroph
Arthrobotrys	Dung Saprotroph-Nematophagous	Saprotroph
Arthroderma	Animal Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Arxiella	Plant Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Ascoideaceae	Wood Saprotroph	Saprotroph
Asterostroma	Undefined Saprotroph	Saprotroph
Astraeus	Ectomycorrhizal	Symbiotroph
Basidioascus	Undefined Saprotroph	Saprotroph
Beauveria	Animal Pathogen	Pathotroph
Bionectriaceae	Algal Parasite-Bryophyte Parasite-Fungal Parasite-Undefined Saprotroph	Pathotroph-Saprotroph
Bipolaris	Plant Pathogen	Pathotroph
Blastomyces	Animal Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph
Boletaceae	Ectomycorrhizal-Fungal Parasite-Plant Saprotroph-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Boletus	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph
Botryosphaeriaceae	Endophyte-Plant Pathogen-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Botrytis	Plant Pathogen	Pathotroph
Byssochlamys	Undefined Saprotroph	Saprotroph
Cadophora	Endophyte	Symbiotroph
Caliciaceae	Lichenized	Pathotroph-Saprotroph-Symbiotroph
Calocera	Wood Saprotroph	Saprotroph
Candida	Animal Pathogen-Endophyte-Endosymbiont-Epiphyte-Soil Saprotroph-Undefined Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Capronia	Endophyte	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Cercospora	Plant Pathogen	Pathotroph
Chaetosphaeria	Endophyte-Litter Saprotroph-Wood Saprotroph	Saprotroph-Symbiotroph
Chalara	Endophyte-Plant Pathogen-Wood Saprotroph	Pathotroph-Saprotroph-Symbiotroph
Cirrenalia	Undefined Saprotroph	Saprotroph
