Taxon	Guild	Trophic Mode	n
Amphinema	Ectomycorrhizal	Symbiotroph	5
Astraeus	Ectomycorrhizal	Symbiotroph	2
Blastomyces	Animal Pathogen-Undefined Saprotroph	Pathotroph-Saprotroph	2
Boletus	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph	2
Cadophora	Endophyte	Symbiotroph	3
Capronia	Endophyte	Symbiotroph	1
Cenococcum	Ectomycorrhizal	Symbiotroph	21
Claroideoglomus	Arbuscular Mycorrhizal	Symbiotroph	1
Clavulina	Ectomycorrhizal	Symbiotroph	17
Coccidioides	Animal Pathogen-Soil Saprotroph	Pathotroph-Saprotroph	1
Cortinarius	Ectomycorrhizal	Symbiotroph	49
Craterellus	Ectomycorrhizal	Symbiotroph	8
Cuphophyllus	Undefined Saprotroph-Undefined Symbiotroph	Saprotroph-Symbiotroph	6
Debaryomyces	Undefined Saprotroph	Saprotroph	1
Dichomitus	Wood Saprotroph	Saprotroph	2
Diplotomma	Lichenized	Symbiotroph	5
Elaphomyces	Ectomycorrhizal	Symbiotroph	11
Endocarpon	Lichenized	Symbiotroph	2
Gautieria	Ectomycorrhizal	Symbiotroph	1
Genea	Ectomycorrhizal	Symbiotroph	5
Geopora	Ectomycorrhizal	Symbiotroph	3
Gloeophyllum	Wood Saprotroph	Saprotroph	2
Glomeraceae	Arbuscular Mycorrhizal	Symbiotroph	5
Glomeromycota	Arbuscular Mycorrhizal	Symbiotroph	1
Gymnomyces	Ectomycorrhizal	Symbiotroph	2
Hebeloma	Ectomycorrhizal	Symbiotroph	3
Helvella	Ectomycorrhizal	Symbiotroph	10
Heterobasidion	Wood Saprotroph	Saprotroph	2
Hydnellum	Ectomycorrhizal	Symbiotroph	7
Hydnobolites	Ectomycorrhizal	Symbiotroph	2
Hygrophorus	Ectomycorrhizal	Symbiotroph	15
Hypomyces	Fungal Parasite	Pathotroph	1
Hysterangium	Ectomycorrhizal	Symbiotroph	3
Inocybe	Ectomycorrhizal	Symbiotroph	170
Laccaria	Ectomycorrhizal	Symbiotroph	4
Lactarius	Ectomycorrhizal	Symbiotroph	28
Membranomyces	Ectomycorrhizal	Symbiotroph	5
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph	64
Phanerochaete	Wood Saprotroph	Saprotroph	2
Phialocephala	Endophyte	Symbiotroph	2
Piloderma	Ectomycorrhizal	Symbiotroph	9
Pneumocystis	Animal Pathogen	Pathotroph	2
Polyporus	Wood Saprotroph	Saprotroph	3
Postia	Wood Saprotroph	Saprotroph	2
Rhizopogon	Ectomycorrhizal	Symbiotroph	3
Russula	Ectomycorrhizal	Symbiotroph	213
Sarcodon	Ectomycorrhizal	Symbiotroph	1
Scheffersomyces	Animal Endosymbiont-Undefined Saprotroph	Saprotroph-Symbiotroph	1
Schizosaccharomyces	Undefined Saprotroph	Saprotroph	3
Schizothecium	Dung Saprotroph	Saprotroph	3
Scleroderma	Ectomycorrhizal	Symbiotroph	3
Serendipita	Orchid Mycorrhizal	Symbiotroph	2
Sphaerulina	Lichenized	Symbiotroph	2
Strobilomyces	Ectomycorrhizal	Symbiotroph	1
Syzygospora	Fungal Parasite-Lichen Parasite	Pathotroph	1
Tarzetta	Ectomycorrhizal	Symbiotroph	2
Thielavia	Dung Saprotroph-Undefined Saprotroph	Saprotroph	2
Tomentella	Ectomycorrhizal	Symbiotroph	49
Tomentellopsis	Ectomycorrhizal	Symbiotroph	1
Trametes	Wood Saprotroph	Saprotroph	2
Trechispora	Wood Saprotroph	Saprotroph	5
Tricholoma	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph	28
Wilcoxina	Ectomycorrhizal	Symbiotroph	5
Xanthoconium	Ectomycorrhizal	Symbiotroph	1
Yarrowia	Undefined Saprotroph	Saprotroph	2
