Feature.ID	111_R_unmap_paired	105_R_unmap_paired	110_R_unmap_paired	112_R_unmap_paired	121_R_unmap_paired	122_R_unmap_paired	123_R_unmap_paired	135_R_unmap_paired	140_R_unmap_paired	146_R_unmap_paired	152_R_unmap_paired	157_R_unmap_paired	158_R_unmap_paired	159_R_unmap_paired	164_R_unmap_paired	165_R_unmap_paired	169_R_unmap_paired	170_R_unmap_paired	176_R_unmap_paired	181_R_unmap_paired	182_R_unmap_paired	188_R_unmap_paired	98_R_unmap_paired	99_R_unmap_paired	100_R_unmap_paired	117_R_unmap_paired	129_R_unmap_paired	133_R_unmap_paired	134_R_unmap_paired	141_R_unmap_paired	145_R_unmap_paired	147_R_unmap_paired	153_R_unmap_paired	171_R_unmap_paired	177_R_unmap_paired	183_R_unmap_paired	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
19d9e2e72ae907ce2dbf1fc56e57e360e2159e7d	28	27	22	67	33	29	20	34	34	30	59	40	31	23	107	22	15	15	66	22	32	44	30	45	18	11	11	17	42	36	13	20	19	13	16	33	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford (ISBN: 978-0851998268)
3de6659cbee837b092f44f45500e8a37e6fd9eb1	36	11	18	21	39	23	14	26	22	21	21	23	32	9	56	14	17	13	40	19	18	20	21	35	19	22	15	11	34	11	7	30	36	9	10	14	k__Fungi	-	-	-	-	-	-	-	Unassigned	-
e84be7057e98c927410b8f5e36ff202bedfef793	26	5	12	12	49	30	16	42	52	39	10	3	32	5	3	20	20	21	23	25	24	7	37	31	17	17	26	2	42	4	7	29	57	4	8	9	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__unidentified	Russula	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
9bc3b56768792ac0e60bc82a8a3d9cc0abb265a6	31	12	9	47	17	32	12	37	17	24	22	15	16	5	45	12	14	9	30	12	26	19	24	23	15	18	10	11	27	26	6	17	23	16	11	11	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Polyporaceae;g__Polyporus;s__Polyporus_dictyopus	Polyporus	13	Saprotroph	Wood Saprotroph	Polyporoid	White Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
74913dee3774f64620ab7c42c262c1452cf77ab5	19	1	15	15	46	23	10	33	36	50	12	2	14	13	9	26	10	13	17	19	16	10	35	25	10	10	17	5	22	10	7	17	62	2	12	8	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__unidentified	Russula	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
24a5f34464ddcb886fbf321880f8913481ae61ac	18	6	15	22	28	10	20	27	58	20	10	2	6	3	4	7	10	13	11	15	10	4	31	18	10	10	9	9	32	9	12	19	53	0	6	0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Russulaceae;g__Russula;s__unidentified	Russula	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
28e451d637cf9ad345741c944517d0857b4d9175	1	3	4	28	9	11	4	16	7	5	16	9	6	8	14	2	7	4	18	3	5	2	7	12	3	3	9	3	9	2	0	10	13	2	6	4	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__unidentified	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph	Microfungus	NULL	Probable	Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739))
6338476f42f44eb9026c5ed5918d3d02459a9420	12	3	2	7	13	6	6	8	7	4	6	16	7	1	23	8	4	3	31	3	9	3	6	13	5	2	0	9	14	1	2	8	9	0	5	7	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Thelephorales;f__Thelephoraceae	Thelephoraceae	9	Saprotroph-Symbiotroph	Ectomycorrhizal-Undefined Saprotroph	Clavarioid	NULL	Probable	On the ground, on soil, a few on wood. At least some speices ectomycorrhizal (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275)
63aef9afc4db6f0a82626651bc689fd86340e0d7	4	10	5	0	3	9	9	3	9	3	4	10	16	15	3	11	16	21	4	28	2	19	3	3	6	2	7	2	10	0	0	2	1	6	6	4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Sebacinales;f__Sebacinaceae;g__Sebacina;s__unidentified	Sebacina	13	Symbiotroph	Ectomycorrhizal-Orchid Mycorrhizal-Root Associated Biotroph	NULL	NULL	Possible	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)) (pro parte); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html)); Weiß, et al. 2016. New Phytologist 211;20-40 ((https://doi.org/10.1111/nph.13977)) (various guilds)
06fd781ec4696d1bf11a64f0fca745776ddf7467	7	6	3	14	2	7	7	5	13	5	17	8	9	6	21	7	1	3	9	9	11	9	8	10	5	6	2	7	3	9	1	3	9	0	6	4	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Inocybaceae;g__Inocybe;s__Inocybe_iringolkavensis	Inocybe	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	Sensu stricto (Matheny 2009).	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Matheny PB. 2009. McIlvainea 18:11-21 ((https://namyco.org/docs/3_Matheny.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
