#OTU ID	kraken_fungi_100_report_bracken	kraken_fungi_105_report_bracken	kraken_fungi_110_report_bracken	kraken_fungi_111_report_bracken	kraken_fungi_112_report_bracken	kraken_fungi_117_report_bracken	kraken_fungi_121_report_bracken	kraken_fungi_122_report_bracken	kraken_fungi_123_report_bracken	kraken_fungi_129_report_bracken	kraken_fungi_133_report_bracken	kraken_fungi_134_report_bracken	kraken_fungi_135_report_bracken	kraken_fungi_140_report_bracken	kraken_fungi_141_report_bracken	kraken_fungi_145_report_bracken	kraken_fungi_146_report_bracken	kraken_fungi_147_report_bracken	kraken_fungi_152_report_bracken	kraken_fungi_153_report_bracken	kraken_fungi_157_report_bracken	kraken_fungi_158_report_bracken	kraken_fungi_159_report_bracken	kraken_fungi_164_report_bracken	kraken_fungi_165_report_bracken	kraken_fungi_169_report_bracken	kraken_fungi_170_report_bracken	kraken_fungi_171_report_bracken	kraken_fungi_176_report_bracken	kraken_fungi_177_report_bracken	kraken_fungi_181_report_bracken	kraken_fungi_182_report_bracken	kraken_fungi_183_report_bracken	kraken_fungi_188_report_bracken	kraken_fungi_98_report_bracken	kraken_fungi_99_report_bracken	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
101028	392564.0	339669.0	520881.0	440509.0	435361.0	518644.0	262375.0	382699.0	494526.0	302988.0	301682.0	398868.0	376804.0	455094.0	295279.0	406139.0	394727.0	331605.0	450759.0	337306.0	224358.0	394933.0	470747.0	365142.0	355159.0	361303.0	517244.0	484875.0	425966.0	327324.0	314959.0	314371.0	460332.0	340195.0	382272.0	415103.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium; s__pseudograminearum	Fusarium	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Lichen Parasite-Plant Pathogen-Soil Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	Likely opportunistic human pathogen (Irinyi et al. 2015)	Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664 ((https://doi.org/10.2307/3757045)); Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Irinyi L, et al. 2015. Medical Mycology 53:313-337 ((https://doi.org/10.1093/mmy/myv008)); Schroers, et al. 2016. Mycologia 108:806-819 ((https://doi.org/10.3852/15-255)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx)); Lawrey JD, Diederich P. 2016. http://www.lichenicolous.net (accessed 24 May 2017) ((http://www.lichenicolous.net))
2587410	16732.0	25753.0	21186.0	20537.0	15865.0	24145.0	19043.0	20083.0	20253.0	21022.0	19170.0	19315.0	18544.0	18861.0	19966.0	23984.0	22146.0	18230.0	16360.0	21973.0	20188.0	20223.0	17035.0	19526.0	23144.0	24618.0	23522.0	19794.0	20933.0	16237.0	23821.0	18405.0	17832.0	19730.0	19405.0	20363.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thermothielavioides; s__terrestris	-	-	-	-	-	-	-	Unassigned	-
80884	13936.0	20912.0	17562.0	17674.0	13023.0	20476.0	16078.0	17528.0	16780.0	18083.0	15616.0	16841.0	16257.0	15833.0	16653.0	19445.0	18133.0	15341.0	14273.0	18555.0	16859.0	16621.0	13729.0	17112.0	19905.0	20478.0	19244.0	15913.0	18007.0	13307.0	20016.0	15481.0	14684.0	16999.0	15597.0	16504.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Glomerellales; f__Glomerellaceae; g__Colletotrichum; s__higginsianum	Colletotrichum	13	Pathotroph-Symbiotroph	Endophyte-Plant Pathogen	Microfungus	NULL	Probable	NULL	Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
98403	10794.0	15822.0	13234.0	13747.0	10174.0	15391.0	12546.0	13034.0	13079.0	13778.0	11993.0	12500.0	12605.0	12497.0	13013.0	15448.0	14078.0	11877.0	11267.0	13975.0	13014.0	12975.0	11034.0	12682.0	14191.0	15266.0	15127.0	12778.0	13970.0	10198.0	15246.0	12132.0	11288.0	13283.0	12276.0	13051.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Ophiocordycipitaceae; g__Drechmeria; s__coniospora	-	-	-	-	-	-	-	Unassigned	-
78579	10739.0	16520.0	13816.0	13560.0	10353.0	15510.0	12264.0	13005.0	12707.0	13564.0	11938.0	12611.0	12625.0	11696.0	12222.0	15540.0	14031.0	11759.0	10482.0	14525.0	12812.0	13143.0	10908.0	12720.0	15871.0	15209.0	15163.0	12574.0	13523.0	9919.0	15177.0	12027.0	11288.0	13166.0	12287.0	12844.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Thermothelomyces; s__thermophilus	-	-	-	-	-	-	-	Unassigned	-
1159556	7413.0	10751.0	8601.0	9495.0	7270.0	10499.0	8845.0	9136.0	8711.0	9341.0	7628.0	9165.0	8574.0	8640.0	9065.0	9834.0	9650.0	7819.0	8128.0	9772.0	8525.0	9342.0	7728.0	9294.0	10632.0	10063.0	10017.0	8237.0	9943.0	6902.0	9992.0	7920.0	7794.0	8859.0	8478.0	8718.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Clavicipitaceae; g__Ustilaginoidea; s__virens	Ustilaginoidea	13	Pathotroph-Symbiotroph	Clavicipitaceous Endophyte-Plant Pathogen	NULL	NULL	Possible	NULL	Lane GA, et al. 2000. In Microbial Endophytes. Eds. Bacon CW, White Jr. JF. Marcel Dekker, New York (ISBN: 9780367447410); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
280036	6601.0	9244.0	7755.0	8318.0	6919.0	9014.0	8041.0	7910.0	8069.0	8198.0	6919.0	8314.0	7598.0	7475.0	7649.0	8721.0	8678.0	7298.0	6927.0	8456.0	8133.0	7702.0	6837.0	7995.0	8140.0	9369.0	8907.0	7710.0	8761.0	6228.0	9210.0	7492.0	7063.0	8180.0	7611.0	8128.0	k__Eukaryota; p__Basidiomycota; c__Ustilaginomycetes; o__Ustilaginales; f__Ustilaginaceae; g__Sporisorium; s__graminicola	Sporisorium	13	Pathotroph	Plant Pathogen	Facultative Yeast	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
33169	5692.0	7421.0	6348.0	7188.0	5688.0	7471.0	7008.0	6741.0	6608.0	6643.0	5599.0	6796.0	6412.0	6413.0	6171.0	7353.0	7202.0	5975.0	5942.0	7070.0	6810.0	6744.0	5825.0	7008.0	7391.0	7252.0	7174.0	6272.0	7858.0	5362.0	7552.0	6315.0	5922.0	6883.0	6107.0	6434.0	k__Eukaryota; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Eremothecium; s__gossypii	Eremothecium	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
5141	4865.0	9528.0	5929.0	6662.0	5269.0	7523.0	8076.0	6836.0	5650.0	6408.0	5569.0	6885.0	6649.0	6322.0	6015.0	8183.0	7382.0	5637.0	6197.0	7468.0	7491.0	7141.0	5386.0	7189.0	9206.0	8071.0	7494.0	5594.0	7124.0	4705.0	7619.0	5317.0	5464.0	6083.0	5594.0	5989.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__Neurospora; s__crassa	Neurospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
318829	5156.0	7186.0	6434.0	6720.0	4934.0	7231.0	5856.0	6352.0	6268.0	6295.0	5717.0	6312.0	6294.0	5840.0	6057.0	7045.0	6778.0	5810.0	5179.0	6763.0	6158.0	6192.0	5477.0	6146.0	7080.0	7305.0	7257.0	6286.0	6643.0	4985.0	7066.0	6023.0	5516.0	6500.0	5691.0	6656.0	k__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Magnaporthales; f__Pyriculariaceae; g__Pyricularia; s__oryzae	Pyricularia	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
