"P6S2T2"	"P2S1T2"	"P3S1T3"	"P5S1T3"	"P6S2T3"	"P3S1T2"	"P1S2T3"	"P3S2T2"	"P5S2T1"	"P3S2T1"	"P2S1T1"	"P3S2T3"	"P5S2T2"	"P1S1T1"	"P4S1T3"	"P2S1T3"	"P4S1T1"	"P5S2T3"	"P1S1T2"	"P4S2T1"	"P2S2T1"	"P4S1T2"	"P6S1T2"	"P1S1T3"	"P4S2T3"	"P2S2T2"	"P4S2T2"	"P6S1T3"	"P1S2T1"	"P6S1T1"	"P2S2T3"	"P5S1T1"	"P6S2T1"	"P1S2T2"	"P3S1T1"	"P5S1T2"
"101028"	392564	339669	520881	440509	435361	518644	262375	382699	494526	302988	301682	398868	376804	455094	295279	406139	394727	331605	450759	337306	224358	394933	470747	365142	355159	361303	517244	484875	425966	327324	314959	314371	460332	340195	382272	415103
"36050"	1402	2007	1533	2102	1566	1945	2032	1911	1528	1806	1413	2101	2029	1556	1668	1624	2026	1667	1688	2024	1724	2026	1537	2261	2417	1703	1798	1544	2053	1258	1907	1565	1515	1721	1496	1668
"56646"	2586	3700	2833	3486	2851	3658	3758	3450	2805	3602	2526	4135	3584	3233	3191	3241	4049	2975	2928	3948	3453	3723	2725	4014	4901	3531	3541	2713	3973	2267	3527	2957	2622	3198	2811	3104
"5518"	940	1309	1105	1363	1004	1295	1384	1198	1076	1157	847	1270	1321	1101	1107	1119	1354	982	1146	1402	1156	1250	1026	1347	1515	1140	1201	1001	1308	823	1296	1035	1082	1207	1041	1121
"5127"	1275	1731	1527	1811	1476	1829	1708	1523	1430	1575	1284	1915	1750	1662	1618	1533	1829	1387	1562	1841	1467	1727	1431	1836	1895	1597	1707	1493	1796	1160	1766	1442	1286	1651	1433	1549
"117187"	1147	2075	1360	1961	1421	1834	2232	1874	1357	1776	1337	1994	1906	1700	1562	1505	2101	1605	1653	2296	1455	2084	1169	2209	2556	1737	2045	1352	1822	1090	1809	1509	1309	1505	1436	1545
"5507"	1799	3309	2007	2648	1895	2620	2390	2386	1966	2336	2004	2574	2395	2188	2163	2185	2590	2057	1944	2986	2413	2520	1933	2766	3695	2221	2279	1921	2353	1590	2369	1941	1842	2185	1856	2054
"1042133"	1387	1882	1661	1858	1562	1955	2093	1977	1588	1801	1338	2173	1803	1769	1472	1828	1976	1538	1566	2015	1602	1753	1530	1839	2517	1804	1771	1491	2033	1405	2087	1604	1447	1883	1567	1851
"1159556"	7413	10751	8601	9495	7270	10499	8845	9136	8711	9341	7628	9165	8574	8640	9065	9834	9650	7819	8128	9772	8525	9342	7728	9294	10632	10063	10017	8237	9943	6902	9992	7920	7794	8859	8478	8718
"280754"	3688	3764	3749	5042	3108	4160	4457	4624	3321	4065	2991	5090	4843	3909	3619	3253	4352	3264	3758	4163	3089	3896	3002	4861	4388	4043	3931	3047	4293	2605	3693	3412	3222	3520	3473	3822
"98403"	10794	15822	13234	13747	10174	15391	12546	13034	13079	13778	11993	12500	12605	12497	13013	15448	14078	11877	11267	13975	13014	12975	11034	12682	14191	15266	15127	12778	13970	10198	15246	12132	11288	13283	12276	13051
"80884"	13936	20912	17562	17674	13023	20476	16078	17528	16780	18083	15616	16841	16257	15833	16653	19445	18133	15341	14273	18555	16859	16621	13729	17112	19905	20478	19244	15913	18007	13307	20016	15481	14684	16999	15597	16504
"2587410"	16732	25753	21186	20537	15865	24145	19043	20083	20253	21022	19170	19315	18544	18861	19966	23984	22146	18230	16360	21973	20188	20223	17035	19526	23144	24618	23522	19794	20933	16237	23821	18405	17832	19730	19405	20363
"78579"	10739	16520	13816	13560	10353	15510	12264	13005	12707	13564	11938	12611	12625	11696	12222	15540	14031	11759	10482	14525	12812	13143	10908	12720	15871	15209	15163	12574	13523	9919	15177	12027	11288	13166	12287	12844
"5141"	4865	9528	5929	6662	5269	7523	8076	6836	5650	6408	5569	6885	6649	6322	6015	8183	7382	5637	6197	7468	7491	7141	5386	7189	9206	8071	7494	5594	7124	4705	7619	5317	5464	6083	5594	5989
"1578925"	4775	7048	6001	6154	4775	6978	5432	5863	5834	5984	4940	5791	5703	5362	5825	6564	6193	5458	4772	6216	5414	5727	4974	5687	6590	6671	6892	5584	6115	4672	6604	5195	4959	6053	5571	5999
"318829"	5156	7186	6434	6720	4934	7231	5856	6352	6268	6295	5717	6312	6294	5840	6057	7045	6778	5810	5179	6763	6158	6192	5477	6146	7080	7305	7257	6286	6643	4985	7066	6023	5516	6500	5691	6656
"148305"	3623	5093	4572	4485	3644	4919	4338	4551	4452	4289	3883	4272	4276	4092	4198	4958	4711	3954	3571	4702	4005	4216	3740	4456	4987	5045	5012	4283	4737	3303	5009	4181	3857	4311	4100	4647
"40559"	2436	3393	2397	5992	2650	3592	4572	3004	2555	3613	1921	4436	3859	3596	2929	2355	3701	2620	3300	3309	2629	3508	2412	3942	4223	2576	2884	2438	3751	2290	3220	2675	2463	3291	2258	2831
