"P6S2T2"	"P2S1T2"	"P3S1T3"	"P5S1T3"	"P6S2T3"	"P3S1T2"	"P1S2T3"	"P3S2T2"	"P5S2T1"	"P3S2T1"	"P2S1T1"	"P3S2T3"	"P5S2T2"	"P1S1T1"	"P4S1T3"	"P2S1T3"	"P4S1T1"	"P5S2T3"	"P1S1T2"	"P4S2T1"	"P2S2T1"	"P4S1T2"	"P6S1T2"	"P1S1T3"	"P4S2T3"	"P2S2T2"	"P4S2T2"	"P6S1T3"	"P1S2T1"	"P6S1T1"	"P2S2T3"	"P5S1T1"	"P6S2T1"	"P1S2T2"	"P3S1T1"	"P5S1T2"
"Eukaryota__Basidiomycota__Pucciniomycetes__Pucciniales__Pucciniaceae__Puccinia__Puccinia graminis"	23	118	43	30	39	48	44	100	23	79	38	93	42	29	22	62	60	33	29	83	42	52	28	64	108	54	47	23	46	28	80	26	22	20	52	17
"Eukaryota__Basidiomycota__Agaricomycetes__Hymenochaetales__Hymenochaetaceae__Fomitiporia__Fomitiporia mediterranea"	58	22	81	109	83	37	134	118	73	34	54	183	116	164	52	36	91	116	71	178	74	101	34	105	48	63	40	35	122	29	83	66	58	48	73	57
"Eukaryota__Basidiomycota__Tremellomycetes__Tremellales__Tremellaceae__Tremella__Tremella mesenterica"	2	7	5	7	5	3	2	18	0	5	8	11	7	9	1	7	6	8	5	2	9	9	3	13	5	3	0	0	5	3	14	4	1	6	4	0
"Eukaryota__Basidiomycota__Agaricomycetes__Polyporales__Unclassified__Fibroporia__Fibroporia radiculosa"	6	6	19	14	5	4	8	3	11	6	4	10	14	7	15	0	15	4	14	8	4	5	4	17	12	1	1	4	14	0	5	6	0	12	0	8
"Eukaryota__Ascomycota__Pneumocystidomycetes__Unclassified__Pneumocystidaceae__Pneumocystis__Pneumocystis murina"	6	19	9	11	10	13	138	14	10	4	4	14	6	8	10	12	20	20	3	55	16	8	6	5	99	61	13	21	14	6	17	4	5	8	21	6
"Eukaryota__Ascomycota__Eurotiomycetes__Onygenales__Arthrodermataceae__Trichophyton__Trichophyton rubrum"	1	0	0	0	1	1	1	0	2	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1	2	0	0	0	0	0	0	1	1	0
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Debaryomycetaceae__Candida__Candida dubliniensis"	2	7	5	2	7	11	4	5	0	6	3	0	6	1	11	5	4	4	3	1	3	1	1	5	4	1	1	0	0	7	2	1	1	8	6	0
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Debaryomycetaceae__Meyerozyma__Meyerozyma guilliermondii"	8	0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	1	0	5	0	0	0	0	0	0	0	3	0	0	0	0	0	9	0	0	0
"Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Fonsecaea__Fonsecaea pedrosoi"	1	0	0	3	2	0	1	0	0	0	1	1	1	0	0	2	0	0	1	0	2	3	0	2	1	1	1	0	0	0	1	0	0	1	0	0
"Eukaryota__Ascomycota__Sordariomycetes__Glomerellales__Glomerellaceae__Colletotrichum__Colletotrichum gloeosporioides"	13	21	19	11	21	23	15	16	12	26	25	30	28	12	9	23	17	8	25	14	11	21	13	27	22	17	14	16	11	9	27	7	7	15	17	27
"Eukaryota__Ascomycota__Dothideomycetes__Pleosporales__Leptosphaeriaceae__Leptosphaeria maculans species complex__Leptosphaeria maculans"	12	76	14	44	11	29	18	22	8	38	24	44	25	24	17	31	33	18	41	29	18	49	25	25	61	32	35	13	38	22	28	19	32	26	12	20
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Pichiaceae__Pichia__Pichia kudriavzevii"	32	88	28	40	40	66	35	71	36	66	44	38	38	54	72	94	61	32	36	50	55	49	57	66	75	49	24	25	62	27	112	18	20	44	65	23
"Eukaryota__Unclassified__Unclassified__Unclassified__Unclassified__Mitosporidium__Mitosporidium daphniae"	1	3	3	14	4	4	3	5	67	10	9	24	17	5	1	5	10	3	3	2	16	9	8	25	16	4	6	2	6	4	0	3	5	2	8	0
"Eukaryota__Ascomycota__Dothideomycetes__Botryosphaeriales__Botryosphaeriaceae__Neofusicoccum__Neofusicoccum parvum"	25	24	27	53	32	32	37	24	21	2	10	49	26	35	10	0	48	28	52	42	21	29	28	66	68	14	42	12	20	17	42	37	15	16	23	20
"Eukaryota__Ascomycota__Pezizomycetes__Pezizales__Tuberaceae__Tuber__Tuber melanosporum"	28	157	55	65	25	134	129	56	64	49	27	66	62	67	41	66	85	112	63	139	134	76	27	73	170	69	40	15	111	5	148	64	16	111	35	53
"Eukaryota__Ascomycota__Leotiomycetes__Helotiales__Helotiaceae__Glarea__Glarea lozoyensis"	41	27	54	59	52	59	175	35	39	15	25	121	91	59	13	9	63	40	66	49	32	59	33	68	82	25	27	11	68	14	0	60	85	96	28	46
"Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Clavicipitaceae__Pochonia__Pochonia chlamydosporia"	44	35	38	34	19	20	23	39	16	23	36	35	55	17	13	11	24	29	45	44	16	22	7	43	15	56	22	16	12	10	11	22	23	22	30	16
"Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Exophiala__Exophiala mesophila"	3	0	1	2	0	1	0	1	0	0	1	2	3	3	1	1	1	0	2	3	3	7	0	3	4	6	0	1	1	1	0	0	0	0	0	0
"Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Aspergillus__Aspergillus oryzae"	1	4	22	28	10	22	14	21	11	17	8	29	17	10	10	17	21	5	26	15	24	12	14	19	24	12	10	22	20	13	27	5	7	13	9	13
"Eukaryota__Basidiomycota__Pucciniomycetes__Pucciniales__Melampsoraceae__Melampsora__Melampsora larici-populina"	1	4	0	11	4	10	4	10	1	14	3	13	6	5	8	4	3	14	6	16	2	26	7	4	13	3	4	1	8	3	7	0	0	5	2	2
"Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Hypocreaceae__Trichoderma__Trichoderma reesei"	8	10	4	1	6	12	6	10	2	13	4	29	3	6	5	8	10	6	3	1	2	4	6	14	11	8	7	4	3	1	11	0	2	6	3	5
"Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Exophiala__Exophiala xenobiotica"	2	15	10	27	12	15	22	13	8	13	9	27	5	12	16	7	11	12	18	16	4	63	0	31	33	12	23	8	17	1	4	3	9	31	3	11
"Eukaryota__Ascomycota__Sordariomycetes__Glomerellales__Plectosphaerellaceae__Verticillium__Verticillium dahliae"	1	3	0	3	1	0	1	3	4	2	3	1	3	0	0	1	2	2	2	2	0	1	6	1	1	0	3	1	1	2	0	1	0	4	2	1
"Eukaryota__Basidiomycota__Malasseziomycetes__Malasseziales__Malasseziaceae__Malassezia__Malassezia globosa"	1	0	0	11	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"Eukaryota__Ascomycota__Sordariomycetes__Xylariales__Sporocadaceae__Pestalotiopsis__Pestalotiopsis fici"	2	21	36	12	0	40	16	29	10	18	15	18	24	5	14	12	16	1	16	15	16	3	0	73	19	11	24	3	19	0	13	2	9	10	3	4
"Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Nectriaceae__Fusarium__Fusarium oxysporum"	9	327	8	24	2	83	20	65	6	44	96	37	28	4	12	56	33	5	12	76	147	49	17	75	301	18	25	5	11	0	28	10	7	14	23	15
"Eukaryota__Basidiomycota__Agaricomycetes__Agaricales__Psathyrellaceae__Coprinopsis__Coprinopsis cinerea"	27	8	24	22	49	11	66	32	14	40	14	85	44	20	12	9	31	38	61	51	43	57	10	87	31	31	14	18	27	36	27	25	18	45	26	30
"Eukaryota__Chytridiomycota__Chytridiomycetes__Spizellomycetales__Spizellomycetaceae__Spizellomyces__Spizellomyces punctatus"	2	15	6	9	4	20	3	11	2	9	7	11	8	8	17	20	11	12	7	18	24	14	4	16	13	16	13	11	11	8	0	3	1	18	5	10
"Eukaryota__Ascomycota__Leotiomycetes__Helotiales__Sclerotiniaceae__Botrytis__Botrytis cinerea"	8	43	39	37	28	24	111	34	26	36	16	64	43	38	38	15	38	38	22	63	38	55	13	64	62	14	36	20	31	20	30	25	17	21	13	26
"Eukaryota__Basidiomycota__Tremellomycetes__Tremellales__Cryptococcaceae__Cryptococcus neoformans species complex__Cryptococcus neoformans"	1	10	2	13	1	14	13	8	2	8	4	17	7	5	6	4	8	3	14	21	10	5	5	20	5	7	5	9	17	3	17	7	3	11	11	5
"Eukaryota__Mucoromycota__Unclassified__Mucorales__Phycomycetaceae__Phycomyces__Phycomyces blakesleeanus"	1	3	4	7	4	7	10	11	7	13	6	13	7	2	9	1	9	5	14	8	3	9	3	8	5	4	3	7	6	8	12	3	1	0	7	1
"Eukaryota__Ascomycota__Orbiliomycetes__Orbiliales__Orbiliaceae__Arthrobotrys__Arthrobotrys oligospora"	1	16	4	10	1	32	7	19	9	13	8	21	7	11	11	10	8	15	7	29	16	17	10	13	17	9	12	8	29	10	12	14	2	8	1	10
"Eukaryota__Basidiomycota__Ustilaginomycetes__Ustilaginales__Ustilaginaceae__Anthracocystis__Anthracocystis flocculosa"	10	7	1	9	9	2	14	15	1	5	5	15	9	9	2	6	1	6	12	6	1	24	6	2	7	2	16	2	11	8	17	3	15	15	4	7
"Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Penicilliopsis__Penicilliopsis zonata"	5	0	0	1	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	0	0
"Eukaryota__Basidiomycota__Ustilaginomycetes__Ustilaginales__Ustilaginaceae__Moesziomyces__Moesziomyces antarcticus"	7	31	3	3	4	5	5	6	5	31	7	10	4	6	2	6	6	2	9	4	4	15	10	3	1	5	2	5	18	4	11	23	5	3	7	5
"Eukaryota__Basidiomycota__Agaricomycetes__Russulales__Stereaceae__Stereum__Stereum hirsutum"	60	13	45	86	114	38	117	77	29	38	28	101	88	105	65	40	108	93	78	105	39	92	47	165	49	81	35	20	74	15	49	42	50	38	34	100
"Eukaryota__Ascomycota__Sordariomycetes__Sordariales__Chaetomiaceae__Chaetomium__Chaetomium globosum"	8	97	60	25	9	52	25	49	26	24	36	17	15	15	32	41	46	29	20	59	25	38	23	35	166	58	46	7	6	25	56	3	9	26	36	20
"Eukaryota__Ascomycota__Sordariomycetes__Sordariales__Lasiosphaeriaceae__Podospora__Podospora anserina"	1	3	1	1	6	8	10	7	8	5	14	10	16	5	4	12	10	0	9	9	4	4	4	5	9	6	1	9	7	4	15	1	4	7	6	2
"Eukaryota__Basidiomycota__Agaricomycetes__Gloeophyllales__Gloeophyllaceae__Gloeophyllum__Gloeophyllum trabeum"	41	22	33	199	71	41	94	82	83	18	16	113	61	127	38	5	83	155	87	94	52	83	62	133	55	62	62	17	194	50	57	62	98	43	90	73
"Eukaryota__Ascomycota__Sordariomycetes__Glomerellales__Glomerellaceae__Colletotrichum__Colletotrichum orchidophilum"	82	159	59	45	46	137	133	50	45	353	250	51	79	51	144	53	49	174	49	32	165	72	303	111	220	124	42	87	68	36	36	212	30	133	298	182
"Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Hypocreaceae__Trichoderma__Trichoderma virens"	2	38	16	14	3	12	30	120	5	61	45	116	17	20	10	21	13	10	5	28	22	16	11	72	75	35	19	4	23	4	25	20	8	1	21	11
"Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Aspergillus__Aspergillus aculeatus"	3	7	6	0	2	1	5	8	2	3	1	7	7	4	3	8	5	4	3	3	11	5	2	4	2	4	2	4	6	5	7	5	3	0	3	2
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Phaffomycetaceae__Wickerhamomyces__Wickerhamomyces ciferrii"	1	2	2	3	0	3	1	6	0	1	1	2	14	2	0	0	2	1	6	6	3	3	0	2	1	0	1	0	6	1	0	3	2	0	1	0
"Eukaryota__Ascomycota__Sordariomycetes__Sordariales__Chaetomiaceae__Thielavia__Thielavia terrestris"	9	41	13	12	9	17	30	27	19	19	19	18	6	9	6	20	20	6	20	7	27	27	4	21	49	15	31	0	12	9	20	0	4	10	17	5
"Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Cladophialophora__Cladophialophora psammophila"	2	2	4	0	3	36	46	3	3	2	2	4	40	0	2	1	40	1	64	41	1	13	1	5	47	41	3	0	2	1	7	40	2	6	0	1
"Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Exophiala__Exophiala aquamarina"	3	6	3	15	2	10	8	9	13	2	4	14	6	6	10	3	15	2	9	17	6	16	0	14	13	5	29	3	9	3	7	6	2	5	4	7
"Eukaryota__Ascomycota__Eurotiomycetes__Chaetothyriales__Herpotrichiellaceae__Fonsecaea__Fonsecaea erecta"	16	32	15	52	24	43	35	35	25	49	14	126	35	44	34	14	92	9	33	49	24	147	4	47	74	41	39	10	55	16	17	14	29	2	11	6
"Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Penicillium__Penicillium expansum"	4	15	18	16	6	19	7	16	10	4	5	18	17	8	1	2	15	12	11	3	10	15	8	29	21	15	7	1	16	4	6	18	3	4	10	9
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Metschnikowiaceae__Clavispora__Clavispora lusitaniae"	2	4	1	5	2	10	6	3	6	0	8	3	5	5	1	1	4	3	3	6	7	3	3	3	3	1	3	2	8	3	0	2	3	3	0	2
"Eukaryota__Ascomycota__Sordariomycetes__Sordariales__Sordariaceae__Neurospora__Neurospora tetrasperma"	6	22	24	19	16	26	18	20	13	34	13	21	6	17	6	36	25	8	7	23	22	23	16	31	15	35	14	3	25	17	37	10	10	15	7	9
"Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Penicillium__Penicillium digitatum"	2	30	37	74	13	32	25	83	0	49	12	27	38	19	9	30	17	23	54	24	23	29	0	52	30	8	14	0	31	15	31	28	20	24	0	27
"Eukaryota__Basidiomycota__Agaricomycetes__Polyporales__Dacryobolaceae__Postia__Postia placenta"	18	41	38	62	27	21	63	42	22	11	24	82	39	54	42	12	43	37	39	49	79	65	20	169	50	52	17	14	95	17	29	29	23	35	13	43
"Eukaryota__Ascomycota__Dothideomycetes__Pleosporales__Phaeosphaeriaceae__Parastagonospora__Parastagonospora nodorum"	11	67	31	24	12	72	25	54	26	31	47	76	72	36	59	33	51	22	21	78	43	78	12	66	135	50	43	3	21	0	61	11	27	27	18	16
"Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Clavicipitaceae__Metarhizium__Metarhizium acridum"	3	11	5	10	6	20	3	11	3	10	1	25	10	13	6	10	4	5	9	8	12	4	6	16	10	6	9	6	12	5	26	4	10	5	5	13
"Eukaryota__Ascomycota__Sordariomycetes__Ophiostomatales__Ophiostomataceae__Grosmannia__Grosmannia clavigera"	1	11	25	3	1	22	6	14	1	18	19	10	9	3	7	6	15	3	1	5	3	3	6	17	41	5	7	4	9	2	15	5	6	6	4	10
"Eukaryota__Basidiomycota__Wallemiomycetes__Wallemiales__Unclassified__Wallemia__Wallemia mellicola"	2	6	0	2	5	1	9	8	3	0	0	4	6	2	4	0	4	3	7	6	1	1	4	0	3	6	8	5	1	0	4	5	6	0	10	2
"Eukaryota__Basidiomycota__Agaricomycetes__Agaricales__Agaricaceae__Agaricus__Agaricus bisporus"	144	159	152	170	513	98	219	235	111	127	123	259	180	179	144	90	193	149	292	262	234	244	73	580	153	144	109	83	290	83	105	221	135	305	99	301
"Eukaryota__Ascomycota__Eurotiomycetes__Eurotiales__Aspergillaceae__Penicillium__Penicillium arizonense"	17	101	198	61	61	148	170	101	13	37	29	72	43	569	73	99	64	40	422	66	157	301	16	687	141	107	41	40	327	28	115	15	38	452	20	52
