otu	P6S2T2	P2S1T2	P3S1T3	P5S1T3	P6S2T3	P3S1T2	P1S2T3	P3S2T2	P5S2T1	P3S2T1	P2S1T1	P3S2T3	P5S2T2	P1S1T1	P4S1T3	P2S1T3	P4S1T1	P5S2T3	P1S1T2	P4S2T1	P2S2T1	P4S1T2	P6S1T2	P1S1T3	P4S2T3	P2S2T2	P4S2T2	P6S1T3	P1S2T1	P6S1T1	P2S2T3	P5S1T1	P6S2T1	P1S2T2	P3S1T1	P5S1T2	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
otu79	95	76	112	122	238	154	146	149	138	62	115	252	88	182	116	54	145	144	209	157	183	163	103	346	119	77	93	110	285	74	126	110	139	95	182	118	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Phanerochaete;s__Phanerochaete	Phanerochaete	13	Saprotroph	Wood Saprotroph	Corticioid	White Rot	Highly Probable	NULL	Glenn JK, et al. 1983. Biochemical and Biophysical Research Communications 114:1077-1083 ((https://doi.org/10.1016/0006-291x((83))90672-1))
otu60	91	56	94	117	278	76	205	179	80	68	63	190	207	136	91	30	163	144	138	190	92	157	40	268	106	117	97	65	306	110	39	129	138	103	73	221	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Boletales;f__Serpulaceae;g__Serpula;s__Serpula	Serpula	13	Saprotroph	Wood Saprotroph	Corticioid	Brown Rot	Probable	Serpula lacyrmans (dry rot) is an aggressive brown-rot fungus that causes very significant economic losses through degradation of wooden parts of buildings (Cannon & Kirk 2007)	Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu85	85	57	26	148	181	77	316	179	101	111	66	262	163	90	108	81	143	193	101	190	61	108	37	250	85	123	79	65	181	36	170	172	105	132	97	151	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Russulales;f__Bondarzewiaceae;g__Heterobasidion;s__Heterobasidion	Heterobasidion	13	Saprotroph	Wood Saprotroph	Polyporoid	White Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
otu37	15	94	152	65	40	130	163	89	7	54	24	50	37	465	82	92	54	59	371	73	107	248	9	604	151	94	50	39	300	16	126	20	19	413	43	41	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium	Penicillium	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu62	42	167	161	113	35	163	62	157	106	146	117	144	116	99	105	161	105	97	77	152	179	154	33	122	219	159	157	68	79	55	140	78	60	104	87	80	k__Eukaryota;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium;s__Penicillium	Penicillium	13	Saprotroph	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Microfungus	Soft Rot	Highly Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu22	41	21	63	174	81	43	127	77	56	26	25	201	137	159	58	9	96	142	145	185	92	143	57	191	81	80	98	0	241	73	50	68	120	33	127	55	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Gloeophyllales;f__Gloeophyllaceae;g__Gloeophyllum;s__Gloeophyllum	Gloeophyllum	13	Saprotroph	Wood Saprotroph	Polyporoid	Brown Rot	Highly Probable	NULL	Gilbertson RL, Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo (ISBN: 978-0945345060)
otu64	46	40	13	107	96	32	212	106	55	72	30	204	106	97	55	36	75	74	222	76	52	87	95	170	57	51	74	93	124	67	52	107	92	167	44	95	k__Eukaryota;p__Ascomycota;c__Leotiomycetes;o__Unclassified;f__Pseudeurotiaceae;g__Pseudogymnoascus;s__Pseudogymnoascus	Pseudogymnoascus	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Soil Saprotroph	NULL	NULL	Possible	It is important to note that the majority of species that comprise this genus, including the White-Nose Bat Syndrome causing Pseudogymnoascus destructans, were once placed in the genus Geomyces (see Minnis & Lindner 2013), and including Pseudogymnoascus panorum (as Geomyces panorum) that had been widely applied to a number of isolates from cold places, including those found in soil, on living roots, hypersaline lakes, keratinaceous substrates, and skin lesions of animals (perhaps as a weak pathogen); however, the true identity of Geomyces panorum (now Pseudogymnoascus panorum) is not known (pers. comm. Lindner DL)	Minnis AM, Lindner DL. 2013. Fungal Biology 117:638-649 ((https://doi.org/10.1016/j.funbio.2013.07.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
otu86	5	21	14	53	1147	8	402	91	14	0	41	108	121	23	30	1	87	27	62	22	59	4	48	276	19	0	5	28	59	1	18	10	59	106	34	97	k__Eukaryota;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Laccaria;s__Laccaria	Laccaria	13	Symbiotroph	Ectomycorrhizal	Agaricoid	NULL	Highly Probable	NULL	Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 ((http://www.fungaldiversity.org/fdp/sfdp/33-1.pdf)); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); http://mycorrhizas.info/ecmf.html ((http://mycorrhizas.info/ecmf.html))
otu59	27	184	62	61	28	77	103	61	49	59	68	69	44	82	91	126	182	36	70	102	145	126	34	61	109	92	87	37	63	22	89	18	38	55	35	74	k__Eukaryota;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Sordariaceae;g__Sordaria;s__Sordaria	Sordaria	13	Saprotroph	Dung Saprotroph-Wood Saprotroph	NULL	Soft Rot	Probable	NULL	Duncan CG, Eslyn WE. 1966. Mycologia 58642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:e26 ((http://mycotaxon.com/resources/checklists/costa_v119_checklist.pdf)); Bills GF, et al. 2013. Current Opinion in Microbiology 16:549-565 ((https://doi.org/10.1016/j.mib.2013.08.001)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))
otu91	58	38	52	113	53	72	84	76	63	102	22	88	148	78	85	33	68	50	109	63	69	89	83	107	108	67	50	73	129	56	36	53	54	95	46	76	k__Eukaryota;p__Mucoromycota;c__Unclassified;o__Mortierellales;f__Mortierellaceae;g__Lobosporangium;s__Lobosporangium	Lobosporangium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))
