"P6S2T2"	"P2S1T2"	"P3S1T3"	"P5S1T3"	"P6S2T3"	"P3S1T2"	"P1S2T3"	"P3S2T2"	"P5S2T1"	"P3S2T1"	"P2S1T1"	"P3S2T3"	"P5S2T2"	"P1S1T1"	"P4S1T3"	"P2S1T3"	"P4S1T1"	"P5S2T3"	"P1S1T2"	"P4S2T1"	"P2S2T1"	"P4S1T2"	"P6S1T2"	"P1S1T3"	"P4S2T3"	"P2S2T2"	"P4S2T2"	"P6S1T3"	"P1S2T1"	"P6S1T1"	"P2S2T3"	"P5S1T1"	"P6S2T1"	"P1S2T2"	"P3S1T1"	"P5S1T2"
"Eukaryota__Basidiomycota__Pucciniomycetes__Pucciniales__Pucciniaceae__Puccinia__Puccinia graminis"	4	48	12	2	3	11	10	28	2	33	4	9	16	11	0	22	6	6	15	25	13	23	7	24	12	10	22	2	26	6	40	7	9	5	8	0
"Eukaryota__Basidiomycota__Agaricomycetes__Hymenochaetales__Hymenochaetaceae__Fomitiporia__Fomitiporia mediterranea"	31	17	44	67	74	44	74	58	53	28	35	93	84	90	18	37	66	84	45	86	70	105	20	104	20	41	37	35	66	0	57	47	29	50	57	53
"Eukaryota__Basidiomycota__Agaricomycetes__Polyporales__Unclassified__Fibroporia__Fibroporia radiculosa"	8	14	16	25	0	5	6	1	7	5	1	0	15	7	2	0	7	5	2	1	1	0	6	23	11	1	9	0	7	0	2	0	0	21	0	0
"Eukaryota__Ascomycota__Eurotiomycetes__Onygenales__Arthrodermataceae__Trichophyton__Trichophyton rubrum"	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Debaryomycetaceae__Candida__Candida dubliniensis"	8	12	0	0	0	4	0	0	0	13	0	0	16	0	19	0	0	0	0	0	15	0	0	29	16	0	0	0	29	1	0	0	0	21	0	0
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Debaryomycetaceae__Meyerozyma__Meyerozyma guilliermondii"	12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Eukaryota__Ascomycota__Sordariomycetes__Glomerellales__Glomerellaceae__Colletotrichum__Colletotrichum gloeosporioides"	10	0	4	2	0	0	0	3	0	10	0	4	4	0	0	0	1	0	1	11	9	5	4	3	7	6	0	7	7	0	0	0	0	8	0	4
"Eukaryota__Ascomycota__Saccharomycetes__Saccharomycetales__Pichiaceae__Pichia__Pichia kudriavzevii"	20	46	13	20	19	28	12	41	18	35	25	14	20	33	30	48	38	19	27	33	31	30	33	33	35	29	22	15	22	25	53	12	15	29	45	15
"Eukaryota__Unclassified__Unclassified__Unclassified__Unclassified__Mitosporidium__Mitosporidium daphniae"	2	0	0	11	3	0	0	7	29	3	2	20	11	2	0	4	4	7	1	1	3	8	4	9	5	4	2	1	4	0	2	0	2	0	3	0
"Eukaryota__Ascomycota__Sordariomycetes__Hypocreales__Clavicipitaceae__Metarhizium__Metarhizium brunneum"	12	9	0	0	141	24	0	40	7	6	8	6	60	22	29	2	17	6	0	13	11	41	12	17	25	11	0	4	2	0	12	0	11	9	12	11
