SampleID	prop_conif	prop_latif	prop_Abies	prop_Pinus	prop_Salix	prop_Arbutus	prop_Quercus	prop_Alnus	prop_Juniperus	prop_Prunus	total_mean_DAP	total_mean_Altura	total_mean_CopaNS	total_mean_distanciacopas	total_mean_diamcopa	total_mean_coberturacopa	total_mean_areabasal	mean_DAP_Abies	mean_DAP_Pinus	mean_DAP_Salix	mean_DAP_Arbutus	mean_DAP_Quercus	mean_DAP_Alnus	mean_DAP_Juniperus	mean_DAP_Prunus	mean_Altura_Abies	mean_Altura_Pinus	mean_Altura_Salix	mean_Altura_Arbutus	mean_Altura_Quercus	mean_Altura_Alnus	mean_Altura_Juniperus	mean_Altura_Prunus	mean_CopaNS_Abies	mean_CopaNS_Pinus	mean_CopaNS_Salix	mean_CopaNS_Arbutus	mean_CopaNS_Quercus	mean_CopaNS_Alnus	mean_CopaNS_Juniperus	mean_CopaNS_Prunus	mean_distanciacopas_Abies	mean_distanciacopas_Pinus	mean_distanciacopas_Salix	mean_distanciacopas_Arbutus	mean_distanciacopas_Quercus	mean_distanciacopas_Alnus	mean_distanciacopas_Juniperus	mean_distanciacopas_Prunus	mean_diamcopa_Abies	mean_diamcopa_Pinus	mean_diamcopa_Salix	mean_diamcopa_Arbutus	mean_diamcopa_Quercus	mean_diamcopa_Alnus	mean_diamcopa_Juniperus	mean_diamcopa_Prunus	mean_coberturacopa_Abies	mean_coberturacopa_Pinus	mean_coberturacopa_Salix	mean_coberturacopa_Arbutus	mean_coberturacopa_Quercus	mean_coberturacopa_Alnus	mean_coberturacopa_Juniperus	mean_coberturacopa_Prunus	mean_areabasal_Abies	mean_areabasal_Pinus	mean_areabasal_Salix	mean_areabasal_Arbutus	mean_areabasal_Quercus	mean_areabasal_Alnus	mean_areabasal_Juniperus	mean_areabasal_Prunus
P1S1T1	100	0	35.71	64.29	0	0	0	0	0	0	0.16285714285714287	12.75	3.835714285714286	7.8	3.9	13.239039	0.0249558606	0.13	0.18	0	0	0	0	0	0	15	11.5	0	0	0	0	0	0	3.68	3.92	0	0	0	0	0	0	7.5	7.97	0	0	0	0	0	0	3.75	3.98	0	0	0	0	0	0	11.26	14.34	0	0	0	0	0	0	0.01	0.03	0	0	0	0	0	0
P1S1T2	75	25	0	75	25	0	0	0	0	0	0.5125000000000001	29	10.1	21.375	10.6875	101.063799375	0.24785535390000002	0	0.64	0.12	0	0	0	0	0	0	35.33	10	0	0	0	0	0	0	12.4	3.2	0	0	0	0	0	0	25.57	8.8	0	0	0	0	0	0	12.78	4.4	0	0	0	0	0	0	129.68	15.21	0	0	0	0	0	0	0.33	0.01	0	0	0	0	0
P1S1T3	100	0	0	100	0	0	0	0	0	0	0.587	38.25	12.475	23.7	11.85	112.28765625	0.2749869969	0	0.59	0	0	0	0	0	0	0	38.25	0	0	0	0	0	0	0	12.47	0	0	0	0	0	0	0	23.7	0	0	0	0	0	0	0	11.85	0	0	0	0	0	0	0	112.29	0	0	0	0	0	0	0	0.27	0	0	0	0	0	0
P1S2T1	4	96	0	4	0	4	92	0	0	0	0.14228	5.848	3.17	6.316	3.158	8.58029865	0.018842091576	0	0.12	0	0.11	0.14	0	0	0	0	6	0	6	5.83	0	0	0	0	1.8	0	3.6	3.21	0	0	0	0	3.7	0	5.65	6.46	0	0	0	0	1.85	0	2.83	3.23	0	0	0	0	2.69	0	6.27	8.94	0	0	0	0	0.01	0	0.01	0.02	0	0	0
P1S2T2	14.29	85.71	0	14.29	0	0	28.57	57.14	0	0	0.19385714285714287	13	5.4714285714285715	11.157142857142858	5.578571428571429	39.381919499999995	0.0537216966	0	0.62	0	0	0.15	0.11	0	0	0	35	0	0	10.25	8.88	0	0	0	16.2	0	0	4.7	3.17	0	0	0	32.1	0	0	9.7	6.65	0	0	0	16.05	0	0	4.85	3.33	0	0	0	202.32	0	0	18.57	9.05	0	0	0	0.3	0	0	0.02	0.01	0	0
P1S2T3	100	0	0	100	0	0	0	0	0	0	0.5398000000000001	27.4	9.379999999999999	19.02	9.51	76.7159085	0.2566129566	0	0.54	0	0	0	0	0	0	0	27.4	0	0	0	0	0	0	0	9.38	0	0	0	0	0	0	0	19.02	0	0	0	0	0	0	0	9.51	0	0	0	0	0	0	0	76.72	0	0	0	0	0	0	0	0.26	0	0	0	0	0	0
P2S1T1	0	100	0	0	0	4.55	95.45	0	0	0	0.11290909090909092	8.977272727272727	2.932272727272727	5.884545454545455	2.9422727272727274	7.24402623	0.0106787982	0	0	0	0.05	0.12	0	0	0	0	0	0	4	9.21	0	0	0	0	0	0	1.52	3	0	0	0	0	0	0	3.77	5.99	0	0	0	0	0	0	1.89	2.99	0	0	0	0	0	0	2.79	7.46	0	0	0	0	0	0	0	0.01	0	0	0
P2S1T2	0	100	0	0	0	11.76	88.24	0	0	0	0.17111764705882354	7.9411764705882355	3.523529411764706	7.052941176470588	3.526470588235294	10.9174065	0.045914899800000006	0	0	0	0.12	0.18	0	0	0	0	0	0	5.5	8.27	0	0	0	0	0	0	4.15	3.44	0	0	0	0	0	0	8.85	6.81	0	0	0	0	0	0	4.42	3.41	0	0	0	0	0	0	16.66	10.15	0	0	0	0	0	0	0.01	0.05	0	0	0
P2S1T3	0	100	0	0	0	14.29	85.71	0	0	0	0.25757142857142856	10.785714285714286	6.2	12.385714285714286	6.192857142857143	39.0627105	0.066858297	0	0	0	0.03	0.3	0	0	0	0	0	0	2.5	12.17	0	0	0	0	0	0	1.2	7.03	0	0	0	0	0	0	2.5	14.03	0	0	0	0	0	0	1.25	7.02	0	0	0	0	0	0	1.23	45.37	0	0	0	0	0	0	0	0.08	0	0	0
P2S2T1	0	100	0	0	0	0	100	0	0	0	0.22416666666666668	19	5.208333333333334	11.408333333333333	5.704166666666667	27.9272695625	0.0514011575	0	0	0	0	0.22	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	5.21	0	0	0	0	0	0	0	11.41	0	0	0	0	0	0	0	5.7	0	0	0	0	0	0	0	27.93	0	0	0	0	0	0	0	0.05	0	0	0
P2S2T2	0	100	0	0	0	0	100	0	0	0	0.2	11.333333333333334	4.2875000000000005	8.9375	4.46875	19.28725596875	0.0409770669	0	0	0	0	0.2	0	0	0	0	0	0	0	11.33	0	0	0	0	0	0	0	4.29	0	0	0	0	0	0	0	8.94	0	0	0	0	0	0	0	4.47	0	0	0	0	0	0	0	19.29	0	0	0	0	0	0	0	0.04	0	0	0
P2S2T3	0	100	0	0	0	8.33	91.67	0	0	0	0.24375	14.416666666666666	5.4125	11.0875	5.54375	27.71173453125	0.05118275085	0	0	0	0.28	0.24	0	0	0	0	0	0	13	14.55	0	0	0	0	0	0	4.7	5.48	0	0	0	0	0	0	9.5	11.23	0	0	0	0	0	0	4.75	5.62	0	0	0	0	0	0	17.72	28.62	0	0	0	0	0	0	0.06	0.05	0	0	0
P3S1T1	15.38	84.62	0	0	0	0	84.62	0	15.38	0	0.22453846153846155	11.192307692307692	4.615384615384615	9.823076923076924	4.911538461538462	21.973830576923078	0.050301788815384614	0	0	0	0	0.24	0	0.11	0	0	0	0	0	12.36	0	4.75	0	0	0	0	0	4.62	0	4.6	0	0	0	0	0	10.39	0	6.7	0	0	0	0	0	5.2	0	3.35	0	0	0	0	0	24.36	0	8.85	0	0	0	0	0	0.06	0	0.01	0
P3S1T2	0	100	0	0	0	7.69	92.31	0	0	0	0.1706923076923077	9.330769230769231	3.623076923076923	7.819230769230769	3.9096153846153845	14.072026903846155	0.03034773516923077	0	0	0	0.34	0.16	0	0	0	0	0	0	12	9.11	0	0	0	0	0	0	6.35	3.4	0	0	0	0	0	0	10.75	7.58	0	0	0	0	0	0	5.38	3.79	0	0	0	0	0	0	22.95	13.33	0	0	0	0	0	0	0.1	0.02	0	0	0
P3S1T3	0	100	0	0	0	18.18	81.82	0	0	0	0.23245454545454544	12.090909090909092	5.654545454545454	11.127272727272727	5.5636363636363635	25.742913	0.0466089918	0	0	0	0.34	0.21	0	0	0	0	0	0	11.5	12.22	0	0	0	0	0	0	7.15	5.32	0	0	0	0	0	0	14.35	10.41	0	0	0	0	0	0	7.18	5.21	0	0	0	0	0	0	42.03	22.12	0	0	0	0	0	0	0.09	0.04	0	0	0
P3S2T1	0	100	0	0	0	37.5	62.5	0	0	0	0.220875	10.625	6.1875	11.8125	5.90625	32.9350126875	0.046110343125	0	0	0	0.25	0.2	0	0	0	0	0	0	10.83	10.5	0	0	0	0	0	0	5.73	6.46	0	0	0	0	0	0	10.67	12.5	0	0	0	0	0	0	5.33	6.25	0	0	0	0	0	0	25.39	37.46	0	0	0	0	0	0	0.06	0.04	0	0	0
P3S2T2	11.11	88.89	0	0	0	33.33	55.56	0	11.11	0	0.23733333333333334	11.38888888888889	6.666666666666667	12.455555555555556	6.227777777777778	42.51522916666667	0.05489439853333333	0	0	0	0.14	0.28	0	0.29	0	0	0	0	8	14.7	0	5	0	0	0	0	3.63	8.24	0	7.9	0	0	0	0	6.97	15.24	0	15	0	0	0	0	3.48	7.62	0	7.5	0	0	0	0	9.94	61.73	0	44.18	0	0	0	0	0.02	0.08	0	0.07	0
P3S2T3	44.44	55.56	0	11.11	0	22.22	33.33	0	33.33	0	0.21422222222222223	9.833333333333334	5.461111111111111	10.227777777777778	5.113888888888889	31.021172874999998	0.06043687906666667	0	0.15	0	0.36	0.27	0	0.08	0	0	13	0	14.75	11.67	0	3.67	0	0	2.8	0	8.25	7.4	0	2.55	0	0	5.7	0	15.45	13.47	0	5.02	0	0	2.85	0	7.72	6.73	0	2.51	0	0	6.38	0	46.89	54.67	0	5	0	0	0.02	0	0.1	0.1	0	0.01	0
P4S1T1	50	50	0	0	0	25	25	0	50	0	0.176625	12.75	3.99375	8.225	4.1125	16.63170403125	0.027315132075	0	0	0	0.25	0.16	0	0.15	0	0	0	0	16.5	14	0	10.25	0	0	0	0	5.3	5.28	0	2.7	0	0	0	0	10.5	10.82	0	5.79	0	0	0	0	5.25	5.41	0	2.89	0	0	0	0	21.89	30.62	0	7.01	0	0	0	0	0.05	0.02	0	0.02	0
