Taxon	Guild	Trophic Mode
Russula	Ectomycorrhizal	Symbiotroph
Polyporus	Wood Saprotroph	Saprotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Russula	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Russula	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Piloderma	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Piloderma	Ectomycorrhizal	Symbiotroph
Hydnellum	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Tricholoma	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Diplotomma	Lichenized	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Wilcoxina	Ectomycorrhizal	Symbiotroph
Tricholoma	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Piloderma	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Diplotomma	Lichenized	Symbiotroph
Cadophora	Endophyte	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Piloderma	Ectomycorrhizal	Symbiotroph
Craterellus	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Wilcoxina	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Tricholoma	Ectomycorrhizal-Fungal Parasite	Pathotroph-Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Glomeraceae	Arbuscular Mycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Diplotomma	Lichenized	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Lactarius	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Polyporus	Wood Saprotroph	Saprotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Elaphomyces	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Craterellus	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Penicillium	Dung Saprotroph-Undefined Saprotroph-Wood Saprotroph	Saprotroph
Cenococcum	Ectomycorrhizal	Symbiotroph
Hygrophorus	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Cortinarius	Ectomycorrhizal	Symbiotroph
Elaphomyces	Ectomycorrhizal	Symbiotroph
Wilcoxina	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Membranomyces	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
Tomentella	Ectomycorrhizal	Symbiotroph
Inocybe	Ectomycorrhizal	Symbiotroph
Russula	Ectomycorrhizal	Symbiotroph
Clavulina	Ectomycorrhizal	Symbiotroph
